instance,my_solution_glouton,valeur_glouton,my_solution,my_z,my_cpu_time
didactic.dat,"6,7,4",30.0,"6,7,4",30.0,0.14300012588500977
pb_1000rnd0100.dat,"137,242,864",49.0,"137,242,864",49.0,0.6420001983642578
pb_1000rnd0300.dat,"440,864,845,989,670,754,337,5,33,162,720,411,584,47,533,26,139,207,518,374,80,965,956,471,854,705,715,926,856,306,532",507.0,"440,864,845,989,670,754,337,5,33,162,411,584,47,26,139,207,518,80,965,956,471,854,705,715,926,856,532,83,392,591,569",528.0,57.55299997329712
pb_100rnd0100.dat,"20,29,35,83,24,4,90,9,5,66,71,15,87,43,14,72,48,1,59,41,44,8,55,77",342.0,"20,29,83,24,4,90,9,5,66,71,15,87,43,14,72,48,1,41,44,8,55,70,88",348.0,0.17100000381469727
pb_2000rnd0100.dat,"55,1339",37.0,"55,1339",37.0,0.9819998741149902
pb_200rnd0100.dat,"85,69,80,108,106,87,68,97,127,75,59,145,151,102,64,29,122,105,190,38,170,164,154,43,28",351.0,"85,69,80,108,106,87,68,75,145,151,102,64,29,122,105,190,38,170,164,154,43,28,22,72,178",359.0,1.1459999084472656
pb_200rnd0400.dat,"176,19,175,127,172,12,40,60,72,90,106,174,6,31,49,74,142,154,160,162,163,169,1,29,43,46,73,76,78,94,96,132,177,4,11,41,55,56,75,128,144,145,161,184,191,196,197,8,81,105,34,86,91,80,151",55.0,"176,19,175,127,172,12,40,60,72,90,106,174,6,31,49,74,142,154,160,162,163,169,1,29,43,46,73,76,78,94,96,132,177,4,11,41,55,56,75,128,144,145,161,184,191,196,197,8,81,105,34,86,91,80,151",55.0,0.5970001220703125
pb_200rnd0600.dat,"26,53,73,189,103,197,50,44,155,79,40",11.0,"26,53,73,189,103,197,50,44,155,79,40",11.0,0.13099980354309082
pb_200rnd0700.dat,"19,20,38,44,46,65,103,105,117,125,178,161,25,153,45,83,185,133,141,179,34,55,80,167,145,164,190,104,156,37,60,62,100,128,192,148,177,108,4,5,27,77,91,188,30,137,155,21,116,50,115,119,76,196,75,140,163,200,42,85,36,160,18,54,67,109,199,173,89,99,88",945.0,"19,20,38,44,46,65,103,105,117,125,178,161,25,153,45,83,185,133,141,179,80,167,145,164,104,156,37,60,62,100,128,192,148,177,108,4,5,27,77,91,188,30,137,155,21,116,50,115,119,76,196,75,140,163,200,42,85,160,18,54,67,109,199,173,99,12,72,111,182",961.0,0.6070001125335693
pb_500rnd0100.dat,"109,131,381,220,401,59,115,123,445,492,80,48,476,463,2,257,31",285.0,"109,131,381,220,401,59,115,123,445,492,80,48,476,463,2,257,31",285.0,1.1979999542236328
